中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
呆呆兽,Slowpoke,ヤドン,['超能'],"['怪兽', '水中1']","['贪吃鬼', '我行我素']",再生力,"[90, 65, 65, 40, 40, 15]"
呆壳兽,Slowbro,ヤドラン,"['毒', '超能']","['怪兽', '水中1']","['速击', '我行我素']",再生力,"[95, 100, 95, 100, 70, 30]"
呆呆王,Slowking,ヤドキング,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[95, 75, 80, 100, 110, 30]"
卷卷耳,Buneary,ミミロル,['一般'],"['陆上', '人形']","['逃跑', '笨拙']",柔软,"[55, 66, 44, 44, 56, 85]"
长耳兔,Lopunny,ミミロップ,['一般'],"['陆上', '人形']","['迷人之躯', '笨拙']",柔软,"[65, 76, 84, 54, 96, 105]"
小福蛋,Happiny,ピンプク,['一般'],未发现,"['自然回复', '天恩']",友情防守,"[100, 5, 5, 15, 65, 30]"
吉利蛋,Chansey,ラッキー,['一般'],妖精,"['自然回复', '天恩']",治愈之心,"[250, 5, 5, 35, 105, 50]"
幸福蛋,Blissey,ハピナス,['一般'],妖精,"['自然回复', '天恩']",治愈之心,"[255, 10, 10, 75, 135, 55]"
贪心栗鼠,Skwovet,ホシガリス,['一般'],陆上,颊囊,贪吃鬼,"[70, 55, 55, 35, 35, 25]"
藏饱栗鼠,Greedent,ヨクバリス,['一般'],陆上,颊囊,贪吃鬼,"[120, 95, 95, 55, 75, 20]"
宝宝丁,Igglybuff,ププリン,"['一般', '妖精']",未发现,"['迷人之躯', '好胜']",友情防守,"[90, 30, 15, 40, 20, 15]"
胖丁,Jigglypuff,プリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",友情防守,"[115, 45, 20, 45, 25, 20]"
胖可丁,Wigglytuff,プクリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",察觉,"[140, 70, 45, 85, 50, 45]"
