中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
菊草叶,Chikorita,チコリータ,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[45, 49, 65, 49, 65, 45]"
月桂叶,Bayleef,ベイリーフ,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[60, 62, 80, 63, 80, 60]"
大竺葵,Meganium,メガニウム,['草'],"['怪兽', '植物']",茂盛,叶子防守,"[80, 82, 100, 83, 100, 80]"
火球鼠,Cyndaquil,ヒノアラシ,['火'],陆上,猛火,引火,"[39, 52, 43, 60, 50, 65]"
火岩鼠,Quilava,マグマラシ,['火'],陆上,猛火,引火,"[58, 64, 58, 80, 65, 80]"
火暴兽,Typhlosion,バクフーン,['火'],陆上,猛火,引火,"[78, 84, 78, 109, 85, 100]"
小锯鳄,Totodile,ワニノコ,['水'],"['怪兽', '水中1']",激流,强行,"[50, 65, 64, 44, 48, 43]"
蓝鳄,Croconaw,アリゲイツ,['水'],"['怪兽', '水中1']",激流,强行,"[65, 80, 80, 59, 63, 58]"
大力鳄,Feraligatr,オーダイル,['水'],"['怪兽', '水中1']",激流,强行,"[85, 105, 100, 79, 83, 78]"
尾立,Sentret,オタチ,['一般'],陆上,"['逃跑', '锐利目光']",察觉,"[35, 46, 34, 35, 45, 20]"
大尾立,Furret,オオタチ,['一般'],陆上,"['逃跑', '锐利目光']",察觉,"[85, 76, 64, 45, 55, 90]"
咕咕,Hoothoot,ホーホー,"['一般', '飞行']",飞行,"['不眠', '锐利目光']",有色眼镜,"[60, 30, 30, 36, 56, 50]"
猫头夜鹰,Noctowl,ヨルノズク,"['一般', '飞行']",飞行,"['不眠', '锐利目光']",有色眼镜,"[100, 50, 50, 86, 96, 70]"
芭瓢虫,Ledyba,レディバ,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",胆怯,"[40, 20, 30, 40, 80, 55]"
安瓢虫,Ledian,レディアン,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",铁拳,"[55, 35, 50, 55, 110, 85]"
圆丝蛛,Spinarak,イトマル,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[40, 60, 40, 40, 40, 30]"
阿利多斯,Ariados,アリアドス,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[70, 90, 70, 60, 60, 40]"
叉字蝠,Crobat,クロバット,"['毒', '飞行']",飞行,精神力,穿透,"[85, 90, 80, 70, 80, 130]"
灯笼鱼,Chinchou,チョンチー,"['水', '电']",水中2,"['蓄电', '发光']",储水,"[75, 38, 38, 56, 56, 67]"
电灯怪,Lanturn,ランターン,"['水', '电']",水中2,"['蓄电', '发光']",储水,"[125, 58, 58, 76, 76, 67]"
皮丘,Pichu,ピチュー,['电'],未发现,静电,避雷针,"[20, 40, 15, 35, 35, 60]"
皮宝宝,Cleffa,ピィ,['妖精'],未发现,"['迷人之躯', '魔法防守']",友情防守,"[50, 25, 28, 45, 55, 15]"
